example_id                                                            | status  | run_time        |
./spec/models/session_spec.rb[1:5:3]                                  | passed  | 0.01677 seconds |
./spec/models/trades_person_profile_spec.rb[1:1:1]                    | passed  | 0.00933 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:1]                    | passed  | 0.01469 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:2]                    | passed  | 0.04293 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:3]                    | passed  | 0.01043 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:4]                    | passed  | 0.00735 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:5]                    | passed  | 0.00677 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:6]                    | passed  | 0.00992 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:7:1]                  | passed  | 0.03476 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:7:2]                  | passed  | 0.01878 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:7:3]                  | passed  | 0.02022 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:7:4]                  | passed  | 0.02413 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:8:1]                  | passed  | 0.02191 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:8:2]                  | passed  | 0.02589 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:8:3]                  | passed  | 0.0362 seconds  |
./spec/models/trades_person_profile_spec.rb[1:2:8:4]                  | passed  | 0.0271 seconds  |
./spec/models/trades_person_profile_spec.rb[1:2:9:1]                  | passed  | 0.03185 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:9:2]                  | passed  | 0.03074 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:9:3]                  | passed  | 0.02379 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:10:1]                 | passed  | 0.03814 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:10:2]                 | passed  | 0.01812 seconds |
./spec/models/trades_person_profile_spec.rb[1:2:10:3]                 | passed  | 0.02245 seconds |
./spec/models/trades_person_profile_spec.rb[1:3:1]                    | passed  | 0.00431 seconds |
./spec/models/trades_person_profile_spec.rb[1:4:1:1]                  | passed  | 0.06271 seconds |
./spec/models/trades_person_profile_spec.rb[1:4:2:1]                  | passed  | 0.07514 seconds |
./spec/models/trades_person_profile_spec.rb[1:4:3:1]                  | passed  | 0.07765 seconds |
./spec/models/trades_person_profile_spec.rb[1:4:4:1]                  | passed  | 0.06701 seconds |
./spec/models/trades_person_profile_spec.rb[1:5:1]                    | passed  | 0.03652 seconds |
./spec/models/trades_person_profile_spec.rb[1:5:2]                    | passed  | 0.03181 seconds |
./spec/models/trades_person_profile_spec.rb[1:6:1]                    | passed  | 0.018 seconds   |
./spec/models/trades_person_profile_spec.rb[1:7:1]                    | passed  | 0.04629 seconds |
./spec/models/trades_person_profile_spec.rb[1:7:2]                    | passed  | 0.02858 seconds |
./spec/models/trades_person_profile_spec.rb[1:8:1:1]                  | passed  | 0.03245 seconds |
./spec/models/trades_person_profile_spec.rb[1:8:1:2]                  | passed  | 0.02929 seconds |
./spec/models/trades_person_profile_spec.rb[1:8:2:1]                  | passed  | 0.03557 seconds |
./spec/models/trades_person_profile_spec.rb[1:8:2:2]                  | passed  | 0.02547 seconds |
./spec/models/trades_person_profile_spec.rb[1:8:2:3]                  | passed  | 0.02571 seconds |
./spec/models/trades_person_profile_spec.rb[1:8:2:4]                  | passed  | 0.03581 seconds |
./spec/models/trades_person_profile_spec.rb[1:8:3:1]                  | passed  | 0.03572 seconds |
./spec/models/trades_person_profile_spec.rb[1:8:4:1]                  | passed  | 0.02788 seconds |
./spec/models/trades_person_profile_spec.rb[1:8:4:2]                  | passed  | 0.04037 seconds |
./spec/models/trades_person_profile_spec.rb[1:8:4:3]                  | passed  | 0.03291 seconds |
./spec/models/user_spec.rb[1:1:1]                                     | passed  | 0.02051 seconds |
./spec/models/user_spec.rb[1:1:2]                                     | passed  | 0.01755 seconds |
./spec/models/user_spec.rb[1:1:3]                                     | passed  | 0.01779 seconds |
./spec/models/user_spec.rb[1:1:4]                                     | passed  | 0.02527 seconds |
./spec/models/user_spec.rb[1:1:5]                                     | passed  | 0.01142 seconds |
./spec/models/user_spec.rb[1:1:6]                                     | passed  | 0.01724 seconds |
./spec/models/user_spec.rb[1:1:7:1]                                   | passed  | 0.01595 seconds |
./spec/models/user_spec.rb[1:1:7:2]                                   | passed  | 0.02036 seconds |
./spec/models/user_spec.rb[1:1:7:3]                                   | passed  | 0.01164 seconds |
./spec/models/user_spec.rb[1:2:1]                                     | passed  | 0.01027 seconds |
./spec/models/user_spec.rb[1:2:2]                                     | passed  | 0.02407 seconds |
./spec/models/user_spec.rb[1:3:1]                                     | passed  | 0.01588 seconds |
./spec/models/user_spec.rb[1:3:2]                                     | passed  | 0.01503 seconds |
./spec/models/user_spec.rb[1:4:1:1]                                   | passed  | 0.01912 seconds |
./spec/models/user_spec.rb[1:4:1:2]                                   | passed  | 0.01796 seconds |
./spec/models/user_spec.rb[1:4:1:3]                                   | passed  | 0.031 seconds   |
./spec/models/user_spec.rb[1:4:2:1]                                   | passed  | 0.02326 seconds |
./spec/models/user_spec.rb[1:4:2:2]                                   | passed  | 0.02218 seconds |
./spec/models/user_spec.rb[1:4:2:3]                                   | passed  | 0.03142 seconds |
